Region,Correspondence,rel.freq,n,Region.short
Africa,first author,100,10,Africa
Africa,last author,0,.,Africa
Asia,first author,58,52,Asia
Asia,last author,37,.,Asia
Europe,first author,83,296,Europe
Europe,last author,14,.,Europe
North America,first author,88,438,N Amer
North America,last author,9,.,N Amer
Oceania,first author,84,70,Oceania
Oceania,last author,14,,Oceania
South America,first author,76,25,S Amer
South America,last author,16,.,S Amer
